a,ds,0.08167
b,sddd,0.01492
c,sdsd,0.02782
d,sdd,0.04253
e,d,0.12702
f,ddsd,0.0228
g,ssd,0.02015
h,dddd,0.06094
i,dd,0.06966
j,dsss,0.00153
k,sds,0.00772
l,dsdd,0.04025
m,ss,0.02406
n,sd,0.06749
o,sss,0.07507
p,dssd,0.01929
q,ssds,0.00095
r,dsd,0.05987
s,ddd,0.06327
t,s,0.09056
u,dds,0.02758
v,ddds,0.00978
w,dss,0.02360
x,sdds,0.00150
y,sdss,0.01974
z,ssdd,0.00074
