nets_0.99.1.h5,net_13,47.840,0.162880,12.214489,1.542612,0.126294,0.253145029946+0.62345004971j,0.253145029946-0.62345004971j,-0.466804441101+0j
nets_0.99.1.h5,net_130,51.680,0.161600,12.284112,2.287251,0.186196,0.503467706668+0j,-0.653286856142+0.485211066784j,-0.653286856142-0.485211066784j
nets_0.99.1.h5,net_131,33.920,0.124480,12.217554,1.602352,0.131152,0.301483511852+0.682149960026j,0.301483511852-0.682149960026j,-0.611578681921+0j
nets_0.99.1.h5,net_132,81.280,0.200000,1.005092,-8.960692,-8.915295,1.30731857052+0j,-0.369282111024+0j,-0.730992419506+0j
nets_0.99.1.h5,net_133,81.440,0.200000,1.009784,-12.938893,-12.813527,-1.33756495795+0j,-0.179319689754+0j,-0.498965021533+0j
nets_0.99.1.h5,net_134,32.640,0.135680,12.271712,2.162476,0.176216,-0.438057882316+0j,0.255523119929+0.741318225025j,0.255523119929-0.741318225025j
nets_0.99.1.h5,net_135,81.920,0.200000,1.500126,-3.482766,-2.321648,-1.2300689627+0j,0.371937900805+0.207373960497j,0.371937900805-0.207373960497j
nets_0.99.1.h5,net_136,25.920,0.134080,12.242459,1.892355,0.154573,-1.01446820521+0j,0.749584574415+0j,0.45607258512+0j
nets_0.99.1.h5,net_137,80.960,0.200000,12.265561,2.100944,0.171288,0.399741809833+0j,-0.475715468372+0j,-0.845198369463+0j
nets_0.99.1.h5,net_138,44.480,0.145600,12.243108,1.877390,0.153343,0.0414097139355+0.662320778042j,0.0414097139355-0.662320778042j,-0.464714723001+0j
nets_0.99.1.h5,net_139,36.000,0.144000,12.282512,2.272106,0.184987,0.566783218091+0j,-0.674238470212+0.474256515663j,-0.674238470212-0.474256515663j
nets_0.99.1.h5,net_14,80.640,0.200000,1.000000,-2499.000000,-2499.000000,1.51428238273+0j,0.239963789998+0j,0.517412001512+0j
nets_0.99.1.h5,net_140,56.640,0.148480,12.098713,0.169616,0.014019,-0.165978114651+0j,0.0753309183321+0.630050345083j,0.0753309183321-0.630050345083j
nets_0.99.1.h5,net_141,79.680,0.200000,10.320648,-92.526340,-8.965168,-0.187959993606+0.0420335847697j,-0.187959993606-0.0420335847697j,0.110794332005+0j
nets_0.99.1.h5,net_142,63.040,0.188160,12.174544,0.903573,0.074218,-0.516677102593+0j,0.411145284755+0.10732730713j,0.411145284755-0.10732730713j
nets_0.99.1.h5,net_143,79.680,0.200000,1.000000,-2499.000000,-2499.000000,-1.76449475083+0j,0.239296139796+0j,-0.206043984787+0j
nets_0.99.1.h5,net_144,41.280,0.135360,12.196346,1.409162,0.115540,0.702631034215+0j,-0.863851367141+0j,-0.218384468652+0j
nets_0.99.1.h5,net_145,54.560,0.184320,11.982800,-1.445465,-0.120628,0.216308080234+0.529104577713j,0.216308080234-0.529104577713j,0.0092089321384+0j
nets_0.99.1.h5,net_146,28.960,0.140480,12.229108,1.724110,0.140984,-0.582900630293+0.522954539278j,-0.582900630293-0.522954539278j,0.0752296985429+0j
nets_0.99.1.h5,net_147,26.240,0.128000,12.283312,2.279279,0.185559,1.02752654905+0j,-0.397452588703+0.809287842543j,-0.397452588703-0.809287842543j
